unit_type_id,property_id,name,created_at,updated_at,deleted_at
91,PR0214,Type 4,2021-12-09 06:43,2021-12-09 06:43,
92,PR0164,Type 1,2021-12-09 06:43,2021-12-09 06:43,
93,PR0114,Type 1,2021-12-09 06:43,2021-12-09 06:43,
94,PR0114,Type 2,2021-12-09 06:43,2021-12-09 06:43,
95,PR0114,Type 3,2021-12-09 06:43,2021-12-09 06:43,
96,PR0114,Type 4,2021-12-09 06:43,2021-12-09 06:43,
97,PR0261,Type 1,2021-12-09 06:43,2021-12-09 06:43,
98,PR0261,Type 2,2021-12-09 06:44,2021-12-09 06:44,
99,PR0216,Type 1,2021-12-09 06:44,2021-12-09 06:44,
100,PR0166,Type 1,2021-12-09 06:44,2021-12-09 06:44,
101,PR0166,Type 2,2021-12-09 06:44,2021-12-09 06:44,
102,PR0116,Type 1,2021-12-09 06:44,2021-12-09 06:44,
103,PR0116,Type 2,2021-12-09 06:44,2021-12-09 06:44,
104,PR0116,Type 3,2021-12-09 06:44,2021-12-09 06:44,
105,PR0116,Type 4,2021-12-09 06:44,2021-12-09 06:44,
106,PR0263,Type 1,2021-12-09 06:44,2021-12-09 06:44,
107,PR0263,Type 2,2021-12-09 06:44,2021-12-09 06:44,
108,PR0218,Type 1,2021-12-09 06:44,2021-12-09 06:44,
109,PR0168,Type 1,2021-12-09 06:44,2021-12-09 06:44,
110,PR0168,Type 2,2021-12-09 06:44,2021-12-09 06:44,
111,PR0168,Type 3,2021-12-09 06:44,2021-12-09 06:44,
112,PR0168,Type 4,2021-12-09 06:44,2021-12-09 06:44,
113,PR0118,Type 1,2021-12-09 06:44,2021-12-09 06:44,
114,PR0306,Type 1,2021-12-09 06:44,2021-12-09 06:44,
115,PR0220,Type 1,2021-12-09 06:44,2021-12-09 06:44,
116,PR0220,Type 2,2021-12-09 06:44,2021-12-09 06:44,
117,PR0170,Bingin Surf Left,2021-12-09 06:44,2023-03-06 09:56,
118,PR0170,Type 2,2021-12-09 06:44,2023-03-04 06:21,2023-03-04 06:21
119,PR0120,Standard,2021-12-09 06:44,2023-02-14 04:56,
120,PR0120,Bingin Ombak Apartment - 1 Lantai 1,2021-12-09 06:44,2023-03-07 10:10,
121,PR0120,Bingin Ombak Apartment - 2 Lantai 2,2021-12-09 06:44,2023-03-07 10:10,
122,PR0120,Type 4,2021-12-09 06:44,2023-03-04 06:21,2023-03-04 06:21
123,PR0267,Type 1,2021-12-09 06:44,2021-12-09 06:44,
124,PR0222,Type 1,2021-12-09 06:44,2021-12-09 06:44,
125,PR0222,Type 2,2021-12-09 06:44,2021-12-09 06:44,
126,PR0222,Type 3,2021-12-09 06:44,2021-12-09 06:44,
127,PR0222,Type 4,2021-12-09 06:44,2021-12-09 06:44,
128,PR0172,Type 1,2021-12-09 06:44,2021-12-09 06:44,
129,PR0172,Type 2,2021-12-09 06:45,2021-12-09 06:45,
130,PR0122,Type 1,2021-12-09 06:45,2021-12-09 06:45,
131,PR0269,Type 1,2021-12-09 06:45,2021-12-09 06:45,
132,PR0269,Type 2,2021-12-09 06:45,2021-12-09 06:45,
133,PR0269,Type 3,2021-12-09 06:45,2021-12-09 06:45,
134,PR0269,Type 4,2021-12-09 06:45,2021-12-09 06:45,
135,PR0315,Type 1,2021-12-09 06:45,2021-12-09 06:45,
136,PR0224,Type 1,2021-12-09 06:45,2021-12-09 06:45,
137,PR0224,Type 2,2021-12-09 06:45,2021-12-09 06:45,
138,PR0224,Type 3,2021-12-09 06:45,2021-12-09 06:45,
139,PR0224,Type 4,2021-12-09 06:45,2021-12-09 06:45,
140,PR0174,Type 1,2021-12-09 06:45,2021-12-09 06:45,
141,PR0174,Type 2,2021-12-09 06:45,2021-12-09 06:45,
142,PR0124,Type 1,2021-12-09 06:45,2021-12-09 06:45,
143,PR0271,Type 1,2021-12-09 06:45,2021-12-09 06:45,
144,PR0226,Type 1,2021-12-09 06:45,2021-12-09 06:45,
145,PR0226,Type 2,2021-12-09 06:45,2021-12-09 06:45,
146,PR0176,Type 1,2021-12-09 06:45,2021-12-09 06:45,
147,PR0126,Double,2021-12-09 06:45,2023-03-07 10:10,
148,PR0126,Twin,2021-12-09 06:45,2023-03-07 10:10,
149,PR0273,Type 1,2021-12-09 06:45,2021-12-09 06:45,
150,PR0228,Type 1,2021-12-09 06:45,2021-12-09 06:45,
151,PR0178,Type 1,2021-12-09 06:45,2021-12-09 06:45,
152,PR0128,Type 1,2021-12-09 06:45,2021-12-09 06:45,
153,PR0274,Type 1,2021-12-09 06:45,2021-12-09 06:45,
154,PR0229,Type 1,2021-12-09 06:45,2021-12-09 06:45,
155,PR0229,Type 2,2021-12-09 06:45,2021-12-09 06:45,
156,PR0180,Type 1,2021-12-09 06:45,2021-12-09 06:45,
157,PR0129,Type 1,2021-12-09 06:45,2021-12-09 06:45,
158,PR0129,Type 2,2021-12-09 06:45,2021-12-09 06:45,
159,PR0129,Type 3,2021-12-09 06:46,2021-12-09 06:46,
160,PR0276,De Kutuh Villa 3BR Villa,2021-12-09 06:46,2023-03-06 09:56,
161,PR0276,De Kutuh Villa 4BR Villa,2021-12-09 06:46,2023-03-06 09:56,
162,PR0230,Type 1,2021-12-09 06:46,2021-12-09 06:46,
163,PR0230,Type 2,2021-12-09 06:46,2021-12-09 06:46,
164,PR0181,Type 1,2021-12-09 06:46,2021-12-09 06:46,
165,PR0130,Type 1,2021-12-09 06:46,2021-12-09 06:46,
166,PR0277,Type 1,2021-12-09 06:46,2021-12-09 06:46,
167,PR0277,Type 2,2021-12-09 06:46,2021-12-09 06:46,
168,PR0277,Type 3,2021-12-09 06:46,2021-12-09 06:46,
169,PR0231,Type 1,2021-12-09 06:46,2021-12-09 06:46,
170,PR0183,Type 1,2021-12-09 06:46,2021-12-09 06:46,
171,PR0131,Type 1,2021-12-09 06:46,2021-12-09 06:46,
172,PR0131,Type 2,2021-12-09 06:46,2021-12-09 06:46,
173,PR0131,Type 3,2021-12-09 06:46,2021-12-09 06:46,
174,PR0278,Type 1,2021-12-09 06:46,2021-12-09 06:46,
175,PR0232,Type 1,2021-12-09 06:46,2021-12-09 06:46,
176,PR0232,Type 2,2021-12-09 06:46,2021-12-09 06:46,
177,PR0232,Type 3,2021-12-09 06:46,2021-12-09 06:46,
178,PR0184,Type 1,2021-12-09 06:46,2021-12-09 06:46,
179,PR0184,Type 2,2021-12-09 06:46,2021-12-09 06:46,
180,PR0184,Type 3,2021-12-09 06:46,2021-12-09 06:46,
181,PR0184,Type 4,2021-12-09 06:46,2021-12-09 06:46,
182,PR0133,Type 1,2021-12-09 06:46,2021-12-09 06:46,
